File,rri[ms]_mean,rri[ms]_std,rri[ms]_median,rri[ms]_min,rri[ms]_max,rri[ms]_count,rr-flags[]_mean,rr-flags[]_std,rr-flags[]_median,rr-flags[]_min,rr-flags[]_max,rr-flags[]_count,rr-systolic[mmHg]_mean,rr-systolic[mmHg]_std,rr-systolic[mmHg]_median,rr-systolic[mmHg]_min,rr-systolic[mmHg]_max,rr-systolic[mmHg]_count,rr-diastolic[mmHg]_mean,rr-diastolic[mmHg]_std,rr-diastolic[mmHg]_median,rr-diastolic[mmHg]_min,rr-diastolic[mmHg]_max,rr-diastolic[mmHg]_count,rr-mean[mmHg]_mean,rr-mean[mmHg]_std,rr-mean[mmHg]_median,rr-mean[mmHg]_min,rr-mean[mmHg]_max,rr-mean[mmHg]_count
01.rri,967.7318548387096,187.75752589880443,927.1875,734.375,1396.875,62,0.0967741935483871,0.4291656353435507,0.0,0.0,2.0,62,143.9607952419355,8.969681664030835,144.7911475,104.109437,155.313009,62,74.1602541935484,7.7171466813954614,73.874585,61.565358,109.044076,62,92.84796558064515,5.994383634077927,92.4645295,83.354959,109.453956,62
02.rri,867.3913043478261,52.05959131201511,875.625,703.75,958.75,69,0.2318840579710145,0.6403107836050586,0.0,0.0,2.0,69,115.72833266666666,6.20898574755636,114.421594,98.217971,129.87417,69,47.3973775942029,4.702076917352609,47.31198,34.324289,60.770138,69,66.6067589710145,5.794669750793481,65.338864,52.877169,86.586848,69
03.rri,764.3189102564103,29.146029654925425,770.625,680.0,843.125,78,0.3333333333333333,0.74535599249993,0.0,0.0,2.0,78,127.64336817948718,4.104119690690887,126.926153,117.771221,137.31103,78,60.85140074358974,3.083478709611852,60.0931755,55.265923,69.015948,78,76.1917804102564,4.849301848917235,74.772253,69.187053,97.451915,78
04.rri,661.7291666666666,34.632877413184524,660.625,370.625,708.125,90,0.15555555555555556,0.5356431463641756,0.0,0.0,2.0,90,117.87534703333333,6.1863113906644855,117.28537850000001,105.910801,128.91235,90,68.07581316666666,3.30624491533043,68.0328205,62.326408,77.190543,90,80.06234424444445,3.846336808674499,79.467068,74.318038,99.632331,90
05.rri,690.7921511627907,41.927295575410625,680.3125,613.125,780.0,86,0.06976744186046512,0.36697055437347675,0.0,0.0,2.0,86,133.08472082558143,7.777757304012219,133.8147475,110.820996,148.419549,86,63.59781646511627,5.108328445868545,63.058923,51.061438,75.929707,86,78.11992988372093,5.491858060879728,77.545158,65.686439,93.893772,86
06.rri,755.2056962025316,51.37293467303932,747.5,536.875,918.75,79,0.05063291139240506,0.31416895306305964,0.0,0.0,2.0,79,102.18193670886076,7.193179898320347,102.389426,90.272752,115.245696,79,40.657335341772146,3.4132410562672364,40.800901,33.373196,48.470563,79,55.74459043037976,4.14720247239957,55.703907,48.630497,67.206702,79
07.rri,938.5714285714286,41.294082471530146,943.125,850.625,1024.375,63,0.4444444444444444,0.8314794192830981,0.0,0.0,2.0,63,116.21571203174604,6.101208280372526,116.362391,106.214821,129.58817,63,49.82943677777778,3.3924689664447687,50.786018,43.836506,57.101328,63,66.78030782539682,5.239619421087697,67.223343,60.350369,91.267264,63
08.rri,1030.021551724138,72.30698198156114,1027.8125,780.625,1185.625,58,0.27586206896551724,0.6896551724137929,0.0,0.0,2.0,58,112.3118525,4.387706516507116,111.735585,104.433187,124.966556,58,57.71206946551724,2.585010316400179,56.9974755,53.474993,64.608398,58,72.66366668965517,4.212805625266744,71.56432799999999,67.318536,87.584477,58
09.rri,664.2385057471264,20.18534477645155,665.625,608.75,716.875,87,0.5977011494252874,0.915508402378845,0.0,0.0,2.0,87,124.54376697701151,7.686596395229203,125.51524,101.265882,136.400545,87,72.73366573563219,3.8089664372919514,73.311377,62.755408,79.748952,87,86.97342952873562,4.8635738975679725,86.77824,74.290751,101.726341,87
10.rri,863.9673913043479,57.64148728336375,869.375,736.25,961.875,69,0.028985507246376812,0.23902061597783536,0.0,0.0,2.0,69,124.56178427536234,9.420047406733755,125.71004,92.392872,139.914055,69,68.49193804347824,10.950201707195447,64.930148,60.604828,112.663261,69,83.39359136231884,8.305115763056008,80.643567,75.490389,113.525628,69
